環境統計集_２章地球環境_海洋汚染,,,,,環境省,,XLS,?2.28 タンカーからの油流出事故 1975-2003 [Excel版 52KB],http://www.env.go.jp/doc/toukei/data/2014_2.28.xls
環境統計集_２章地球環境_海洋汚染,,,,,環境省,,XLS,?2.29 廃棄物の海洋投入処分量の推移 [Excel版 32KB],http://www.env.go.jp/doc/toukei/data/2014_2.29.xls
環境統計集_２章地球環境_水資源,,,,,環境省,,XLS,2.27 各国の淡水資源と取水量 [Excel版 138KB],http://www.env.go.jp/doc/toukei/data/2014_2.27.xls
環境統計集_２章地球環境_水質,,,,,環境省,,XLS,2.24 河川の水質 [Excel版 77KB] ,http://www.env.go.jp/doc/toukei/data/2014_2.24.xls
環境統計集_２章地球環境_水質,,,,,環境省,,XLS,?2.25 湖沼の水質 [Excel版 82KB] ,http://www.env.go.jp/doc/toukei/data/2014_2.25.xls
環境統計集_２章地球環境_水質,,,,,環境省,,XLS,?2.26 下水処理施設利用人口 [Excel版 103KB],http://www.env.go.jp/doc/toukei/data/2014_2.26.xls
環境統計集_２章地球環境_酸性雨,,,,,環境省,,XLS,2.19 各国の二酸化硫黄（SO2）排出量の推移 [Excel版 46KB],http://www.env.go.jp/doc/toukei/data/2014_2.19.xls
環境統計集_２章地球環境_酸性雨,,,,,環境省,,XLS,?2.20 各国の窒素酸化物（NOx）排出量の推移 [Excel版 42KB],http://www.env.go.jp/doc/toukei/data/2014_2.20.xls
環境統計集_２章地球環境_酸性雨,,,,,環境省,,XLS,?2.21 ヨーロッパの酸性雨の状況（降水中pHの年平均値） [Excel版 40KB],http://www.env.go.jp/doc/toukei/data/2014_2.21.xls
環境統計集_２章地球環境_酸性雨,,,,,環境省,,XLS,?2.22 日本の酸性雨の状況（降水中pHの年平均値） [Excel版 52KB],http://www.env.go.jp/doc/toukei/data/2014_2.22.xls
環境統計集_２章地球環境_酸性雨,,,,,環境省,,XLS,?2.23 東アジア酸性雨モニタリングネットワーク（EANET）測定地点における年平均pH [Excel版 54KB] ,http://www.env.go.jp/doc/toukei/data/2014_2.23.xls
環境統計集_２章地球環境_オゾン層破壊,,,,,環境省,,XLS,?2.10 日本におけるフロン出荷量の推移 [Excel版 79KB],http://www.env.go.jp/doc/toukei/data/2014_2.10.xls
環境統計集_２章地球環境_オゾン層破壊,,,,,環境省,,XLS,?2.11 日本におけるHCFCの生産量・消費量の推移 [Excel版 28KB],http://www.env.go.jp/doc/toukei/data/2014_2.11.xls
環境統計集_２章地球環境_オゾン層破壊,,,,,環境省,,XLS,?2.12 世界における主要なフロン生産量の推移 [Excel版 39KB],http://www.env.go.jp/doc/toukei/data/2014_2.12.xls
環境統計集_２章地球環境_オゾン層破壊,,,,,環境省,,XLS,?2.13 PRTRによるオゾン層破壊物質の排出量 [Excel版 43KB],http://www.env.go.jp/doc/toukei/data/2014_2.13.xls
環境統計集_２章地球環境_オゾン層破壊,,,,,環境省,,XLS,?2.14 北海道における特定物質等の大気中のバックグラウンド濃度の経年変化 [Excel版 137KB],http://www.env.go.jp/doc/toukei/data/2014_2.14.xls
環境統計集_２章地球環境_オゾン層破壊,,,,,環境省,,XLS,?2.15 日本上空のオゾン全量の年平均値の推移 [Excel版 274KB],http://www.env.go.jp/doc/toukei/data/2014_2.15.xls
環境統計集_２章地球環境_オゾン層破壊,,,,,環境省,,XLS,?2.16 南極のオゾンホール面積の推移 [Excel版 26KB],http://www.env.go.jp/doc/toukei/data/2014_2.16.xls
